No fault found,No cause found  ]
No fault found,No cause found  ]
No fault found,Section inspected by staff and no cause found ]
No fault found,Section inspected by staff and no cause found ]
No fault found,Patrol of section no problems found with the OLE. ]
No fault found,Patrol of section no problems found with the OLE. ]
No fault found,Patrol of section no problems found with the OLE. ]
No fault found,Electrical section patrolled no fault found. ]
No fault found,Electrical section patrolled no fault found. ]
No fault found,Patrol of section nothing found. ]
No fault found,Patrol of section nothing found. ]
No fault found,No fault found ]
No fault found,Area patrolled and no fault found Rugby OLE section patrolled NFF.]
No fault found,Area patrolled and no fault found Rugby OLE section patrolled NFF.]
No fault found,Area patrolled and no fault found Rugby OLE section patrolled NFF.]
No fault found,"There were 3 Pendolino stabled in Longsight carriage sidings, we used the GoPro camera to inspect on top of the units, nothing found. There were a number of EMU,s stabled in the siding at the time of the breaker trip, however these units had departed for service by the time we carried out the inspection. ]"
No fault found,Area patrolled no fault found  Rugby section patrolled NFF.]
No fault found,Area patrolled no fault found  Rugby section patrolled NFF.]
No fault found,Area patrolled no fault found  Rugby section patrolled NFF.]
No fault found,Area patrolled no fault found  Rugby section patrolled NFF.]
No fault found,Area patrolled no fault found  Rugby section patrolled NFF.]
No fault found,Patrolled no fault found  ]
No fault found,Patrolled no fault found  ]
No fault found,Patrolled no fault found  ]
No fault found,Patrolled no fault found  ]
No fault found,Patrolled under lineblockage no fault found  ]
No fault found,Patrolled under lineblockage no fault found  ]
No fault found,Area patrolled but no cause found. ]
No fault found,Area patrolled but no cause found. ]
No fault found,No fault found  ]
No fault found,No fault found  ]
No fault found,No fault found  ]
No fault found,Patrolled nothing found  ]
No fault found,Patrolled nothing found  ]
No fault found,"Area patrolled on foot with MoM. Cab patrolled between Lime St and Wigan, nothing untoward found. ]"
No fault found,Patrolled with no fault found ]
No fault found,Patrolled with no fault found ]
No fault found,Breaker trip on SX-51 section with DTF of 16.8km from ordsall lane. Section checked by OHL staff but no cause found. ]
No fault found,Breaker trip on SX-51 section with DTF of 16.8km from ordsall lane. Section checked by OHL staff but no cause found. ]
No fault found,"No damage found, OLE fit for purpose  ]"
No fault found,No damage found  ]
No fault found,Nothing found ]
No fault found,Nothing found ]
No fault found,Patrol of section AH-5 no problems found with OLE. ]
No fault found,Area inspected no fault found ]
No fault found,Patrolled by late shift ( nothing found ) ]
No fault found,Patrolled by late shift ( nothing found ) ]
No fault found,Section of track patrolled and inspected for cause. No cause found.  ]
No fault found,Section of track patrolled and inspected for cause. No cause found.  ]
No fault found,Section of track patrolled and inspected for cause. No cause found.  ]
No fault found,Patrolled nothing found  ]
No fault found,Patrolled nothing found  ]
No fault found,"No fault found, OLE fit for purpose ]"
No fault found,"No fault found, ole fit for purpose ]"
No fault found,"No fault found, ole fit for purpose ]"
No fault found,"No fault found, ole fit for purpose ]"
No fault found,OHL inspected Wembley sheds north end of road 1 no damage to OLE. ]
No fault found,Patrol of section no problems found with the OLE. ]
No fault found,Patrolled nothing found  ]
No fault found,Patrolled nothing found  ]
No fault found,Manchester airport platforms patrolled by Jeff Richardson no cause was found and all OLE confirmed fit for purpose.  ]
No fault found,Manchester airport platforms patrolled by Jeff Richardson no cause was found and all OLE confirmed fit for purpose.  ]
No fault found,"Preston OHL staff attended site and patrolled the area & watched trains through the section, no cause found.]"
No fault found,"Preston OHL staff attended site and patrolled the area & watched trains through the section, no cause found.]"
No fault found,PW2 electrical section patrolled nothing found  ]
No fault found,PW2 electrical section patrolled nothing found  ]
No fault found,Area inspected under line blockage and also Longsight depot patrolled - no cause found ]
No fault found,Area inspected under line blockage and also Longsight depot patrolled - no cause found ]
No fault found,Area cab patrolled no cause found.  ]
No fault found,Area patrolled nothing found  ]
No fault found,Area patrolled nothing found  ]
No fault found,Patrol of section BH-22 North Wembley distance to fault 10m 668yards Red Zone no problems found with ole. ]
No fault found,Patrol of section BH-22 North Wembley distance to fault 10m 668yards Red Zone no problems found with ole. ]
No fault found,Patrol of section BH-22 North Wembley distance to fault 10m 668yards Red Zone no problems found with ole. ]
No fault found,
No fault found,
No fault found,Equipment checked no immediate issue  ]
No fault found,Equipment checked no immediate issue  ]
No fault found,"Patrolled and found burn marks, stranded catenary and burnt bond. No sign of bird.  ]"
No fault found,No fault found ]
No fault found,No fault found ]
No fault found,No fault found ]
No fault found,
No fault found,
No fault found,
No fault found,Patrol of section no problems found with the OLE. ]
No fault found,Patrol of section no problems found with the OLE. ]
No fault found,No fault found. Clear on arrival  ]
No fault found,"Distance to fault recording incorrect. Patrolled electrical section, nothing found. Ole fir for purpose ]"
No fault found,"Distance to fault recording incorrect. Patrolled electrical section, nothing found. Ole fir for purpose ]"
No fault found,OHL Staff patrolled section fit for purpose patrol carried out over the several days ]
No fault found,OHL Staff patrolled section fit for purpose patrol carried out over the several days ]
No fault found,Area patrolled by S Jones no fault found . Please close  ]
No fault found,Area patrolled by S Jones no fault found . Please close  ]
No fault found,Area patrolled by S Jones no fault found . Please close  ]
No fault found,Patroled nothing found ]
No fault found,Patroled nothing found ]
No fault found,"No obvious fault or problem found, OHL fit for purpose ]"
No fault found,"No obvious fault or problem found, OHL fit for purpose ]"
No fault found," Area patrolled inside T3 possession, no fault found ]"
No fault found," Area patrolled inside T3 possession, no fault found ]"
No fault found,Section patrolled no cause found ]
No fault found,Section patrolled no cause found ]
No fault found,Area patrolled with no fault found ]
No fault found,Area patrolled with no fault found ]
No fault found,Area patrolled with no fault found ]
No fault found,
No fault found,
No fault found,
No fault found,Area patrolled no fault found  ]
No fault found,Area patrolled no fault found  ]
No fault found,Patroled nothing found ]
No fault found,Patroled nothing found ]
No fault found,"Checked the Neutral Section on the DN MN at Oxenholme and the magnets associated with it, all in spec and working correctly watched an electric train through went through with smooth passage and no sparking.  ]"
No fault found,"Checked the Neutral Section on the DN MN at Oxenholme and the magnets associated with it, all in spec and working correctly watched an electric train through went through with smooth passage and no sparking.  ]"
No fault found,"Checked the Neutral Section on the DN MN at Oxenholme and the magnets associated with it, all in spec and working correctly watched an electric train through went through with smooth passage and no sparking.  ]"
No fault found,"Checked the Neutral Section on the DN MN at Oxenholme and the magnets associated with it, all in spec and working correctly watched an electric train through went through with smooth passage and no sparking.  ]"
No fault found,"Checked the Neutral Section on the DN MN at Oxenholme and the magnets associated with it, all in spec and working correctly watched an electric train through went through with smooth passage and no sparking.  ]"
No fault found,"Checked the Neutral Section on the DN MN at Oxenholme and the magnets associated with it, all in spec and working correctly watched an electric train through went through with smooth passage and no sparking.  ]"
No fault found,Ohle clear on inspection  ]
